family_id,comparison_id,metric_id,dataset_id,comparator_id,seed,median_identity_effect
F4-SFACE,F4-SFACE::D1::full_vs_condition0,sface_source_to_render_cosine,D1,condition0,2026080450,0.00032758646273822745
F4-SFACE,F4-SFACE::D1::full_vs_condition0,sface_source_to_render_cosine,D1,condition0,2026080451,3.109770248205246e-05
F4-SFACE,F4-SFACE::D1::full_vs_b_lite_ft,sface_source_to_render_cosine,D1,b_lite_ft,2026080447,-0.0013138415062385889
F4-SFACE,F4-SFACE::D1::full_vs_b_lite_ft,sface_source_to_render_cosine,D1,b_lite_ft,2026080448,-0.002681801794524319
F4-SFACE,F4-SFACE::D1::full_vs_b_lite_ft,sface_source_to_render_cosine,D1,b_lite_ft,2026080449,-0.00016712010822084178
F4-SFACE,F4-SFACE::D1::full_vs_b_lite_ft,sface_source_to_render_cosine,D1,b_lite_ft,2026080450,-0.00241178425784061
F4-SFACE,F4-SFACE::D1::full_vs_b_lite_ft,sface_source_to_render_cosine,D1,b_lite_ft,2026080451,0.00033040172440801374
F4-SFACE,F4-SFACE::D1::full_vs_freeuv_conserved,sface_source_to_render_cosine,D1,freeuv_conserved,2026080447,0.004545007097795595
F4-SFACE,F4-SFACE::D1::full_vs_freeuv_conserved,sface_source_to_render_cosine,D1,freeuv_conserved,2026080448,0.004037635796506012
F4-SFACE,F4-SFACE::D1::full_vs_freeuv_conserved,sface_source_to_render_cosine,D1,freeuv_conserved,2026080449,0.006139067692252531
F4-SFACE,F4-SFACE::D1::full_vs_freeuv_conserved,sface_source_to_render_cosine,D1,freeuv_conserved,2026080450,0.004054852998865488
F4-SFACE,F4-SFACE::D1::full_vs_freeuv_conserved,sface_source_to_render_cosine,D1,freeuv_conserved,2026080451,0.004486947622212967
F4-SFACE,F4-SFACE::D2::full_vs_condition0,sface_source_to_render_cosine,D2,condition0,2026080447,1.7707611078859875e-05
F4-SFACE,F4-SFACE::D2::full_vs_condition0,sface_source_to_render_cosine,D2,condition0,2026080448,0.0002503365004322411
F4-SFACE,F4-SFACE::D2::full_vs_condition0,sface_source_to_render_cosine,D2,condition0,2026080449,-1.8956799353070375e-05
F4-SFACE,F4-SFACE::D2::full_vs_condition0,sface_source_to_render_cosine,D2,condition0,2026080450,-2.252356019566415e-05
F4-SFACE,F4-SFACE::D2::full_vs_condition0,sface_source_to_render_cosine,D2,condition0,2026080451,8.793563570763663e-05
F4-SFACE,F4-SFACE::D2::full_vs_b_lite_ft,sface_source_to_render_cosine,D2,b_lite_ft,2026080447,3.080000996338872e-05
F4-SFACE,F4-SFACE::D2::full_vs_b_lite_ft,sface_source_to_render_cosine,D2,b_lite_ft,2026080448,0.00030042653866241276
F4-SFACE,F4-SFACE::D2::full_vs_b_lite_ft,sface_source_to_render_cosine,D2,b_lite_ft,2026080449,0.0003954327359409482
F4-SFACE,F4-SFACE::D2::full_vs_b_lite_ft,sface_source_to_render_cosine,D2,b_lite_ft,2026080450,0.000307215808785094
F4-SFACE,F4-SFACE::D2::full_vs_b_lite_ft,sface_source_to_render_cosine,D2,b_lite_ft,2026080451,0.00018663287634501646
F4-SFACE,F4-SFACE::D2::full_vs_freeuv_conserved,sface_source_to_render_cosine,D2,freeuv_conserved,2026080447,0.0016169093156625514
F4-SFACE,F4-SFACE::D2::full_vs_freeuv_conserved,sface_source_to_render_cosine,D2,freeuv_conserved,2026080448,0.001959955875423386
F4-SFACE,F4-SFACE::D2::full_vs_freeuv_conserved,sface_source_to_render_cosine,D2,freeuv_conserved,2026080449,0.0017948045190251671
F4-SFACE,F4-SFACE::D2::full_vs_freeuv_conserved,sface_source_to_render_cosine,D2,freeuv_conserved,2026080450,0.001374781266977182
F4-SFACE,F4-SFACE::D2::full_vs_freeuv_conserved,sface_source_to_render_cosine,D2,freeuv_conserved,2026080451,0.0015160347177914368
