direction_index,direction,source_view,target_view,comparison_id,comparator_id,comparator_label,metric_id,effect_definition,positive_favors,pair_count,identity_count,median_identity_effect,median_identity_effect_rgb8,ci95_identity_bootstrap_low,ci95_identity_bootstrap_high,positive_identity_count,zero_identity_count,negative_identity_count,bootstrap_resamples,bootstrap_seed,analysis_status,seed_2026080447_median_identity_effect,seed_2026080448_median_identity_effect,seed_2026080449_median_identity_effect,seed_2026080450_median_identity_effect,seed_2026080451_median_identity_effect
8,V03→V04,V03,V04,full_vs_condition0,condition0,NoCond,hidden_uv_mae,comparator_minus_full,FrugalFace3D-Lite,100,100,0.002376807081344981,0.6060858057429701,0.0010244784255822315,0.004689696721261599,62,0,38,10000,2026082381,EXPLORATORY_NO_SIGNIFICANCE_TEST,-5.207980190005679e-06,0.00601135848560419,0.002414901506980649,0.0023341161497494184,0.005262962637219204
8,V03→V04,V03,V04,full_vs_b_lite_ft,b_lite_ft,B-lite 同任务微调,hidden_uv_mae,comparator_minus_full,FrugalFace3D-Lite,100,100,0.006581139581992246,1.6781905934080226,-0.013933141043202757,0.015616105729761201,55,0,45,10000,2026082382,EXPLORATORY_NO_SIGNIFICANCE_TEST,-0.0003372238089258822,-0.008475975217058868,0.014908367156052982,0.003959364942239196,0.012605605571626988
8,V03→V04,V03,V04,full_vs_freeuv_conserved,freeuv_conserved,FreeUV（已观测纹理保持）,hidden_uv_mae,comparator_minus_full,FrugalFace3D-Lite,100,100,0.00824825038531038,2.103303848254147,-0.007907997585407639,0.020358777977526193,55,0,45,10000,2026082383,EXPLORATORY_NO_SIGNIFICANCE_TEST,0.010342473311105826,0.001954605279884003,0.0028707830282482666,0.005831408282069295,0.013634843965216234
9,V04→V01,V04,V01,full_vs_condition0,condition0,NoCond,hidden_uv_mae,comparator_minus_full,FrugalFace3D-Lite,100,100,-0.006877471261028945,-1.753755171562381,-0.010621913190556567,-0.0025416801141855128,34,0,66,10000,2026082391,EXPLORATORY_NO_SIGNIFICANCE_TEST,-0.012485793686945593,-0.006586380943348041,0.0012122675656776188,-0.002138610760109849,-0.012321253102292734
9,V04→V01,V04,V01,full_vs_b_lite_ft,b_lite_ft,B-lite 同任务微调,hidden_uv_mae,comparator_minus_full,FrugalFace3D-Lite,100,100,0.001252240183978695,0.31932124691456726,-0.006751946001141151,0.006746278397149891,56,0,44,10000,2026082392,EXPLORATORY_NO_SIGNIFICANCE_TEST,-0.013240707030112597,0.007014897946889198,0.0064338589111105765,0.0031731596663158446,-0.001914739996634815
9,V04→V01,V04,V01,full_vs_freeuv_conserved,freeuv_conserved,FreeUV（已观测纹理保持）,hidden_uv_mae,comparator_minus_full,FrugalFace3D-Lite,100,100,0.030492703205790853,7.775639317476667,0.017543346606768095,0.04460494254371185,74,0,26,10000,2026082393,EXPLORATORY_NO_SIGNIFICANCE_TEST,0.026378946161491654,0.03325000949229023,0.033640574545100124,0.029258484485947256,0.029255785733970044
10,V04→V02,V04,V02,full_vs_condition0,condition0,NoCond,hidden_uv_mae,comparator_minus_full,FrugalFace3D-Lite,100,100,-0.0039037818543049413,-0.99546437284776,-0.006478894908889005,-0.00101045829554397,39,0,61,10000,2026082401,EXPLORATORY_NO_SIGNIFICANCE_TEST,-0.008095847147088192,0.004400376931473771,-0.005289108342270907,0.0006691296189244231,-0.007381653974926655
10,V04→V02,V04,V02,full_vs_b_lite_ft,b_lite_ft,B-lite 同任务微调,hidden_uv_mae,comparator_minus_full,FrugalFace3D-Lite,100,100,0.022223342143190224,5.666952246513507,0.013357549767803262,0.03531048319268006,67,0,33,10000,2026082402,EXPLORATORY_NO_SIGNIFICANCE_TEST,0.010383071673889743,0.02659243806957884,0.0203135828183883,0.034499184036302186,0.02941201682886195
10,V04→V02,V04,V02,full_vs_freeuv_conserved,freeuv_conserved,FreeUV（已观测纹理保持）,hidden_uv_mae,comparator_minus_full,FrugalFace3D-Lite,100,100,0.07926806785881219,20.213357303997107,0.03306445939409913,0.09753232097460164,76,0,24,10000,2026082403,EXPLORATORY_NO_SIGNIFICANCE_TEST,0.06109741203148258,0.08065160981056803,0.06526150885038079,0.07898871520901043,0.06769833540362039
11,V04→V03,V04,V03,full_vs_condition0,condition0,NoCond,hidden_uv_mae,comparator_minus_full,FrugalFace3D-Lite,100,100,-0.008320993718013078,-2.121853398093335,-0.01039881537860883,-0.004719656379232912,29,0,71,10000,2026082411,EXPLORATORY_NO_SIGNIFICANCE_TEST,-0.01375169203513199,-0.003943695666225308,-0.0005080178090319937,-0.001390557447789778,-0.011446078601200269
11,V04→V03,V04,V03,full_vs_b_lite_ft,b_lite_ft,B-lite 同任务微调,hidden_uv_mae,comparator_minus_full,FrugalFace3D-Lite,100,100,0.007702252907716409,1.9640744914676842,0.0011250915648803412,0.014224381450517715,60,0,40,10000,2026082412,EXPLORATORY_NO_SIGNIFICANCE_TEST,-0.004131923534319001,0.009712210473741684,0.00874055033416618,0.005877414009828358,0.006827560137420648
11,V04→V03,V04,V03,full_vs_freeuv_conserved,freeuv_conserved,FreeUV（已观测纹理保持）,hidden_uv_mae,comparator_minus_full,FrugalFace3D-Lite,100,100,0.03073201869924863,7.836664768308401,0.020639819636860346,0.0498049428669719,75,0,25,10000,2026082413,EXPLORATORY_NO_SIGNIFICANCE_TEST,0.020057573305880316,0.03800001872082551,0.032599033144863565,0.03198842095919478,0.030697469430189597
