direction_index,direction,source_view,target_view,comparison_id,comparator_id,comparator_label,identity_token,identity_effect,identity_effect_rgb8,seed_2026080447_effect,seed_2026080448_effect,seed_2026080449_effect,seed_2026080450_effect,seed_2026080451_effect
4,V02→V03,V02,V03,full_vs_condition0,condition0,NoCond,D2-001,-0.0006825626672556095,-0.17405348015018043,-0.011908033086607844,-0.015255390045543521,0.007367917336523533,0.0004637996510913067,-0.0006825626672556095
4,V02→V03,V02,V03,full_vs_condition0,condition0,NoCond,D2-002,0.007842467962831695,1.9998293305220822,0.007842467962831695,-0.004004360811002,0.012135711323091936,0.021089946446211455,-0.0011899017229460296
4,V02→V03,V02,V03,full_vs_condition0,condition0,NoCond,D2-003,-0.029829226123789937,-7.606452661566434,-0.0432680973576175,-0.04057777165952654,-0.0018483472781048726,0.021469343194944993,-0.029829226123789937
4,V02→V03,V02,V03,full_vs_condition0,condition0,NoCond,D2-004,0.006831914211312962,1.7421381238848053,-0.07093789899100855,0.006831914211312962,0.010679548929134974,0.03535203136503695,-0.003170757914582878
4,V02→V03,V02,V03,full_vs_condition0,condition0,NoCond,D2-005,0.03389850193289695,8.644117992888722,-0.010590789460197647,0.044185000954678755,0.03372084690878788,0.03389850193289695,0.035862218278149754
4,V02→V03,V02,V03,full_vs_condition0,condition0,NoCond,D2-006,0.012499825270087611,3.187455443872341,-0.019056297783498405,0.013626194662517965,0.026356561757900104,0.012499825270087611,-0.012598084851547509
4,V02→V03,V02,V03,full_vs_condition0,condition0,NoCond,D2-007,0.01475107139330123,3.7615232052918133,-0.005707517234836451,0.01475107139330123,0.022033778926994235,0.01905234667319286,-0.00650099641348742
4,V02→V03,V02,V03,full_vs_condition0,condition0,NoCond,D2-008,0.01079975254005855,2.75393689771493,0.01079975254005855,-0.009440727283557215,0.03279282788435617,0.002936439977751837,0.01444112062454228
4,V02→V03,V02,V03,full_vs_condition0,condition0,NoCond,D2-009,-0.015254393219947815,-3.889870271086693,-0.041534498954812676,-0.01872000708762142,-0.006816321363051742,-0.015254393219947815,0.031989749314056515
4,V02→V03,V02,V03,full_vs_condition0,condition0,NoCond,D2-010,-0.019718918252766615,-5.028324154455487,-0.019718918252766615,-0.0014885034624154136,0.010638491409580897,-0.06092152211481966,-0.07338541097999585
